simplified	traditional	pinyin	eng	freq
息	息	xi1	news/interest/breath/rest	98447
究	究	jiu1	after all/to investigate/to study carefully	98377
线	線	xian4	thread/string/wire/line	98261
似	似	si4	to seem/to appear/similar/like/to resemble	98057
官	官	guan1	official/government	97897
火	火	huo3	fire	97760
断	斷	duan4	absolutely/decidedly (in negative constructions)/break/to judge	97235
精	精	jing1	energy/perfect/excellent/refined/very/proficient	97135
满	滿	man3	Manchurian/to fill/to fulfill/filled/packed	96954
支	支	zhi1	(a measure word)/to support/to sustain/to erect/to raise/branch/division/to draw money	96814
视	視	shi4	to look at/to regard/to inspect	96326
消	消	xiao1	consume/news/subside/to disappear/to vanish	96263
越	越	yue4	to exceed/to climb over/to surpass/the more ... the more	95657
器	器	qi4	device/tool/utensil	95444
容	容	rong2	to hold/to contain/to allow/appearance/look/countenance	95407
照	照	zhao4	according to/in accordance with/to shine/to illuminate/to reflect/photograph	95020
须	須	xu1	beard/necessary/must, beard/mustache	94903
九	九	jiu3	nine/9	94580
增	增	zeng1	to increase/to expand/to add	93869
研	研	yan2	grind fine/study/research	93761
写	寫	xie3	to write	93710
称	稱	chen4/cheng1/cheng4	balanced/to fit/well-off/suitable, to call/to praise/to weigh/to estimate/to consider/to call/to address/to name/to say/commend, steelyard	93638
企	企	qi3	plan a project/stand on tiptoe	93453
八	八	ba1	eight/8	92700
功	功	gong1	merit/achievement/result/service/accomplishment	92052
吗	嗎	ma3/ma	morphine, (question tag)	91639
包	包	bao1	to cover/to wrap/to hold/to include/to take charge of/package/wrapper/container/bag/to hold or embrace/bundle/packet/to contract (to or for)	91240
片	片	pian1/pian4	disc/sheet, a slice/piece/flake/thin/slice	90559
史	史	shi3	history	90469
委	委	wei1/wei3	crooked, give up/indeed/to commission	90263
乎	乎	hu1	(interrog. part.)	90127
查	查	cha2/zha1	to research/to check/to investigate/to examine/to refer to/to search, (surname)	90039
轻	輕	qing1	light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/soft	89852
易	易	yi4	(surname)/change/easy/simple	89730
早	早	zao3	early/morning	89623
曾	曾	ceng2/zeng1	(refers to something that happened previously)/already/at some time in the past/before/once, (surname)/great-grand (father)	89328
除	除	chu2	remove/do away with/wipe out/divide/except	89272
农	農	nong2	agriculture	88412
找	找	zhao3	to try to find/to look for/to call on (sb)/to find/to seek/to return/to look for	88247
装	裝	zhuang1	adornment/adorn/costume/dress/clothing	88143
广	廣	guang3	wide/numerous/to spread	87900
显	顯	xian3	prominent/conspicuous	87825
吧	吧	ba1/ba	(onomat.)/dumb, (modal particle indicating polite suggestion)/...right?/...OK?	87536
阿	阿	a1/a4/a/e1	an initial particle/prefix to names of people, (phonetic character), (final part.)/(interj.), flatter	87159
李	李	li3	(a surname)/plum	86593
标	標	biao1	the topmost branches of a tree/surface/sign/to mark/(outward) sign/indication/prize/award/bid	86324
谈	談	tan2	to speak/to talk/to converse/to chat/to discuss/(surname)	86089
吃	喫	chi1/ji2	eat/eradicate/destroy/receive, eat, stammer	85976
图	圖	tu2	diagram/to plan/picture/drawing/chart	85957
念	念	nian4	read aloud, to read aloud	85953
六	六	liu4	six/6	85830
引	引	yin3	to lead/to divert (water)/to guide	85740
历	歷	li4	calendar, to experience/to undergo/to pass through/all/each/every/calendar	85487
首	首	shou3	head/chief/first (occasion)/first (thing)/measure word for poems	85036
医	醫	yi1	medical/medicine/doctor/to cure/to treat	84620
局	局	ju2	narrow, (a measure word used for games) set or round office/situation/office	84587
突	突	tu1	to dash/to move forward quickly	84474
专	專	zhuan1	for a particular person, occasion, purpose/focused on one thing/special/expert/particular (to sth)/concentrated/specialized, concentrated/specialized	84361
费	費	fei4	to cost/to spend/fee/wasteful/expenses/(surname)	84359
号	號	hao2/hao4	roar/cry, day of a month/(suffix used after) name of a ship/(ordinal) number	84335
尽	盡	jin3/jin4	to the utmost, to use up/to exhaust/to end/to finish/to the utmost/exhausted/finished/to the limit (of sth)	84270
另	另	ling4	other/another/separate/separately	83702
周	周	zhou1	(surname)/complete/encircle/circuit/lap/week/cycle/all/every/attentive/thoughtful, bestow alms, cycle/week	83366
较	較	jiao4	clear/distinct/compare/comparatively	82870
注	注	zhu4	to inject/to pour into/to concentrate/to pay attention/to note/to comment on/to record/to register/to annotate, annotate	82869
语	語	yu3/yu4	dialect/language/speech, tell to	82805
仅	僅	jin3	barely/only/merely	82729
考	考	kao3	to check/to verify/to test/to examine	82688
落	落	la4/luo4	leave behind, alight/to fall/to drop (behind)	82641
青	青	qing1	green (blue, black)	82619
随	隨	sui2	to follow/to comply with/to allow/(surname)	82599
选	選	xuan3	to choose/to pick/to select/to elect	82498
列	列	lie4	to arrange/to line up/row/file/series	82418
武	武	wu3	martial/military	81863
红	紅	hong2	bonus/popular/red/revolutionary	81852
响	響	xiang3	to make a sound/to sound/to ring/(a measure word for sound)/loud	81702
虽	雖	sui1	although/even though	81097
推	推	tui1	push/refuse (responsibility)/shove	80933
势	勢	shi4	conditions/influence/tendency	80705
参	參	can1/shen1	take part in/participate/join/attend/to join/unequal/varied/irregular/to counsel/uneven/not uniform, ginseng	80663
希	希	xi1	rare/infrequent	80460
古	古	gu3	ancient/old	80454
众	衆	zhong4	multitude	80390
构	構	gou4	Broussonetia papyrifera/to construct/to form/to make up/to compose	80364
房	房	fang2	house	80320
半	半	ban4	half/semi-/incomplete/(after a number) and a half/half	80183
节	節	jie2/jie1	festival/section/segment/point/part/to economize/to save/temperate	80074
土	土	tu3	earth/dust	79809
投	投	tou2	to throw/to send	79708
某	某	mou3	(used before measure word and noun) some/(a) certain/so and so	79482
案	案	an4	(legal) case/incident/record/file/table	79395
黑	黑	hei1	black/dark	78896
维	維	wei2	to preserve/to maintain/to hold together/dimension	78877
革	革	ge2	leather/remove	78685
划	劃	hua2/hua4	to row, to delimit/to transfer/to assign/to differentiate/to mark off/to draw (a line)/to delete/stroke of a Chinese character	78648
敌	敵	di2	enemy/match	78620
致	致	zhi4	fine and close, to send/to devote/to deliver/to cause/to convey	78238
陈	陳	chen2	arrange/exhibit/narrate/tell/old/stale/a surname/to state/to display/to explain/(surname)	77914
律	律	lu:4/lv4	law	77818
足	足	zu2	foot/to be sufficient	77385
态	態	tai4	attitude	77219
护	護	hu4	protect	76993
七	七	qi1	seven/7	76766
兴	興	xing1/xing4	flourish/it is the fashion to/to become popular, interest	76760
派	派	pai4	clique/school/group/faction/to dispatch	76750
孩	孩	hai2	child	76620
验	驗	yan4	to examine/to test/to check	76542
责	責	ze2	duty/responsibility/to reproach/to blame	76377
营	營	ying2	army/to deal in/to trade/to operate/to run/camp/nourishment/to manage	76372
星	星	xing1	star/satellite/small amount	76320
够	夠	gou4	to reach/to be enough	76181
章	章	zhang1	(surname)/chapter/seal/section	76098
音	音	yin1	sound/noise/news	76043
跟	跟	gen1	to follow/to go with/heel/with/and	75958
志	志	zhi4	the will, sign/mark/to record/write a footnote	75904
底	底	de/di3	(possessive part.)/(subor. part.), background/bottom/base	75728
站	站	zhan4	station/to stand/to halt/to stop	75402
严	嚴	yan2	(air or water) tight/stern/serious/strict/severe	75278
巴	巴	ba1	(suff. for certain nouns)/to hope/to wish/Palestinian, Palestine (abbrev.)/Pakistan (abbrev.)/Pascal (unit of pressure)	74917
例	例	li4	example/precedent/rule/case/instance	74579
防	防	fang2	to protect/to defend/to guard (against)	74459
族	族	zu2	race/nationality/ethnicity/clan	74174
供	供	gong1/gong4	offer (information etc.)/supply, offer/sacrificial offering/trial statement/confession	74168
效	效	xiao4	imitate, effect/efficacy/imitate	74009
续	續	xu4	continue/replenish	73927
施	施	shi1	(surname)/distribute (alms)/to do/to execute/to carry out	73861
留	留	liu2	leave (message)/to retain/to stay/to remain/to keep/to preserve	73287
讲	講	jiang3	to talk/speech/to speak/to tell/to explain	73220
型	型	xing2	model	73216
料	料	liao4	material/stuff/grain/feed/to expect/to anticipate/to guess	72778
终	終	zhong1	end/finish	72533
答	答	da1/da2	to answer/agree, reply/answer/return/respond/echo	72421
紧	緊	jin3	tight/nervous/strict	72300
黄	黃	huang2	(surname)/sulfur/yellow	72199
绝	絕	jue2	cut short/extinct/to disappear/to vanish/absolutely/by no means	72074
奇	奇	ji1/qi2	odd (Num), strange/odd/weird/wonderful	71919
察	察	cha2	examine/inquire/observe/inspect/look into/to examine	71894
母	母	mu3	female/mother	71462
京	京	jing1	capital/Beijing (abbrev.)	71245
段	段	duan4	(surname)/paragraph/section/segment	71172
依	依	yi1	according to/depend on/near to	70632
批	批	pi1	to ascertain/(measure word for batches, lots)/to act on/to criticize/to pass on	70580
群	羣	qun2	crowd/flock/group	70459
项	項	xiang4	(surname)/back of neck/item/thing	70453
故	故	gu4	happening/instance/reason/cause/deceased/old	70067
按	按	an4	to press (with the hand)/to push/to control/to restrain/to check/pressing down (brush movement in painting)/according to/in the light of	69984
河	河	he2	river	69687
米	米	mi3	(measure word) meter/rice	69668
围	圍	wei2	to circle/to surround	69641
江	江	jiang1	river	69602
织	織	zhi1	weave	69482
害	害	hai4	to do harm to/to cause trouble to/harm/evil/calamity	69462
斗	鬥	dou3/dou4	Chinese peck, to fight/to battle/to struggle/to incite, fight/incite	69456
双	雙	shuang1	two/double/pair/both	69440
境	境	jing4	border/place/condition/boundary/circumstances/territory	69360
客	客	ke4	customer/visitor/guest	69108
纪	紀	ji4	discipline/age/era/period/order/record	69045
采	採	cai3/cai4	to pick/to pluck/to collect/to select/to choose/to gather, affairs/gather, allotment to a feudal noble	68946
举	舉	ju3	to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect	68924
杀	殺	sha1	to kill/to murder/to slaughter	68776
攻	攻	gong1	to attack/to accuse/to study	68747
父	父	fu4	father	68576
苏	蘇	su1	loquacious/nag, revive, (plant)/place name/revive	68487
密	密	mi4	secret/confidential/close/thick/dense	68475
低	低	di1	to lower (one's head)/to let droop/to hang down/low/to incline/beneath/low	68424
朝	朝	chao2/zhao1	to face/towards/facing/direct/a dynasty/the imperial court/(abbr.) Korea, esp. N. Korea, morning	68380
友	友	you3	friend	68196
诉	訴	su4	complain/sue/tell	68147
止	止	zhi3	to stop/toe	68082
细	細	xi4	fine/minutely/thin/slender	67915
愿	願	yuan4	sincere/willing, hope/wish/desire/ready/willing	67915
千	千	qian1	thousand, a swing	67843
值	值	zhi2	value/(to be) worth/to happen	67732
仍	仍	reng2	still/yet/to remain	67490
男	男	nan2	male	67405
钱	錢	qian2	(surname)/coin/money	67304
破	破	po4	to break/to split/broken/damaged/worn out	67268
网	網	wang3	net/network, a net	67118
热	熱	re4	heat/to heat up/fervent/hot (of weather)/warm up	67051
助	助	zhu4	to help/to assist	66867
倒	倒	dao3/dao4	to fall/to collapse/to topple/to change/to fail/bankrupt, upset/turn over/to tip/to pour/to go home/to the contrary/inverted	66634
育	育	yu4	nourish/to rear	66551
属	屬	shu3/zhu3	belong to/category/be subordinate to/genus (taxonomy)/be born in the year of (one of the 12 animals)/family members/dependants, join together/fix one's attention on/concentrate on	66374
坐	坐	zuo4	to sit/to take a seat/to take (a bus, airplane etc.)	66293
帝	帝	di4	emperor	66035
限	限	xian4	limit/bound	66018
船	船	chuan2	a boat/vessel/ship	65883
脸	臉	lian3	face	65727
职	職	zhi2	office/duty	65272
速	速	su4	fast/rapid/quick	65094
刻	刻	ke4	quarter (hour)/(a measure word)/to carve/to engrave/to cut/oppressive	65015
乐	樂	le4/yue4	(surname)/happy/laugh/cheerful, (surname)/music	64965
否	否	fou3/pi3	to negate/to deny/not, clogged/evil	64772
刚	剛	gang1	hard/firm/strong/just/barely/exactly	64622
威	威	wei1	power/might/prestige	64559
毛	毛	mao2	hair/pore/fur	64522
状	狀	zhuang4	accusation/suit/state/condition/strong/great	64495
率	率	lu:4/shuai4/lv4	rate/frequency, to lead/command	64453
甚	甚	shen4	very/extremely/more (than)	64438
独	獨	du2	alone/independent/single/sole/only	64201
球	球	qiu2	ball/sphere	63913
般	般	ban1	sort/kind/class/way/manner	63739
普	普	pu3	general/popular/everywhere/universal	63570
怕	怕	pa4	to be afraid/to fear	63520
弹	彈	dan4/tan2	crossball/bullet/shot/shell/ball, impeach/to pluck a string/to play (a stringed musical instrument with fingers)	63417
校	校	jiao4/xiao4	proofread/to check/to compare, school	63200
苦	苦	ku3	bitter/intensely/miserable/painful	63194
创	創	chuang1/chuang4	a wound/cut/injury/trauma, begin/initiate/inaugurate/start/create	63156
假	假	jia3/jia4	fake/false/artificial/to borrow/if/suppose, vacation	62691
久	久	jiu3	(long) time/(long) duration of time	62588
错	錯	cuo4	mistake/error/blunder/fault/cross/uneven/wrong	62401
承	承	cheng2	to bear/to carry/to hold/to continue/to undertake/to take charge/owing to/due to/to receive	62285
印	印	yin4	stamp/seal/mark/print/India (abbrev.)	62179
晚	晚	wan3	evening/night/late	62142
兰	蘭	lan2	orchid	61951
试	試	shi4	to test/to try/experiment/examination/test	61912
股	股	gu3	share/portion/section/part/thigh/(a measure word, e.g. use with electric current)/whiff	61861
拿	拿	na2	to hold/to seize/to catch/to apprehend/to take	61798
脑	腦	nao3	brain	61647
预	預	yu4	to advance/in advance/beforehand/to prepare	61534
谁	誰	shei2/shui2	who, who	61528
益	益	yi4	benefit/increase	60896
阳	陽	yang2	positive (electric.)/sun	60867
若	若	ruo4	to seem/like/as/if	60736
哪	哪	na3/na/nei3	how/which, (final part. preceded by N), which (followed by M or Num)	60708
微	微	wei1	micro/tiny/miniature	60484
尼	尼	ni2	Buddhist nun/(often used in phonetic spellings)	60474
继	繼	ji4	to continue/to follow after/then/afterwards/to go on with/to succeed/to inherit	60428
送	送	song4	to deliver/to carry/to give (as a present)/to present (with)/to see off/to send	60182
急	急	ji2	hurried/worried	60141
血	血	xie3/xue4	blood, blood	59944
惊	驚	jing1	to start/to be frightened/to be scared/alarm	59724
