pinyin,hanzi,hsk,translation
biàn huà,变化,3,"change, variation, to change, to vary, CL:個|个[gè],"
biǎo shì,表示,3,"to express, to show, to say, to state, to indicate, to mean,"
biǎo yǎn,表演,3,"play, show, performance, exhibition, to perform, to act, to demonstrate, CL:場|场[chǎng],"
bié ren,别人,3,"other people, others, other person,"
bīn guǎn,宾馆,3,"guesthouse, lodge, hotel, CL:個|个,家[jiā],"
bīng xiāng,冰箱,3,"icebox, freezer cabinet, refrigerator, CL:臺|台,個|个[gè],"
cái,才,3,"a moment ago, just now, (preceded by a clause of condition or reason) not until, (followed by a numerical clause) only,"
cài dān,菜单,3,"menu, CL:份,張|张[zhāng],"
cān jiā,参加,3,"to participate, to take part, to join,"
cǎo,草,3,"grass, straw, manuscript, draft (of a document), careless, rough, CL:棵,撮,株,根[gēn],"
céng,层,3,"layer, stratum, laminated, floor (of a building), storey, classifier for layers, repeated, sheaf (math.),"
chà,差,3,"to differ from, to fall short of, lacking, wrong, inferior,"
chāo shì,超市,3,"supermarket (abbr.), CL:家[jiā],"
chèn shān,衬衫,3,"shirt, blouse, CL:件[jiàn],"
chéng jì,成绩,3,"achievement, performance records, grades, CL:項|项,個|个[gè],"
chéng shì,城市,3,"city, town, CL:座[zuò],"
chí dào,迟到,3,"to arrive late,"
chū xiàn,出现,3,"to appear, to arise, to emerge, to show up,"
chú le,除了,3,"besides, apart from (... also...), in addition to, except (for),"
chú fáng,厨房,3,"kitchen, CL:間|间[jiān],"
chūn,春,3,"spring (time), gay, joyful, youthful, love, lust, life,"
cí yǔ,词语,3,"word (general term including monosyllables through to short phrases), term (e.g. technical term), expression,"
cōng ming,聪明,3,"acute (of sight and hearing), clever, intelligent, bright, smart,"
dǎ sǎo,打扫,3,"to clean, to sweep,"
dǎ suàn,打算,3,"to plan, to intend, to calculate, plan, intention, calculation, CL:個|个[gè],"
dài,带,3,"band, belt, girdle, ribbon, tire, area, zone, region, CL:條|条[tiáo], to wear, to carry, to take along, to bear (i.e. to have), to lead, to bring, to look after, to raise,"
dān xīn,担心,3,"anxious, worried, uneasy, to worry, to be anxious,"
dàn gāo,蛋糕,3,"cake, CL:塊|块,個|个[gè],"
dāng rán,当然,3,"only natural, as it should be, certainly, of course, without doubt,"
de,地,3,"-ly, structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct,"
dēng,灯,3,"lamp, light, lantern, CL:盞|盏[zhǎn],"
