hanzi	freq	pinyin	eng
远	110455	yuan3	far/distant/remote
叫	110131	jiao4	to (be) call(ed)
台	109362	tai2	surname/(classical) you (in letters)/platform/Taiwan (abbr.), desk/platform, (measure word)/platform/stage/terrace/stand/support/desk/station/broadcasting station, typhoon
单	109359	chan2/dan1/shan4	chieftain, bill/list/form/single/only/sole, (surname)
影	108862	ying3	picture/image/reflection/shadow
具	108811	ju4	tool/device/utensil/equipment/instrument
罗	108376	luo1/luo2	fussy/talkative, subordinate in a gang of bandits, (surname)/gauze/to collect/to gather/to catch/to shift
字	108218	zi4	letter/symbol/character/word
爱	108167	ai4	to love/affection/to be fond of/to like
击	107513	ji1	to hit/to strike/to break
流	107397	liu2	to flow/to spread/to circulate/to move
备	107114	bei4	to prepare/get ready/to provide or equip
兵	106982	bing1	soldiers/a force/an army/weapons/arms/military/warlike
连	106814	lian2	(surname)/even/as/join/to link/successively
调	106379	diao4/tiao2	mode (music)/to move (troops)/tune/tone/melody/to transfer, harmonize/reconcile/blend/suit well/provoke/incite
深	105924	shen1	deep/profound
商	105406	shang1	commerce/consult
算	105293	suan4	regard as/to figure/to calculate/to compute
质	104560	zhi4	hostage/substance/nature/quality
团	104151	tuan2	regiment/round/circular/group/society, dumpling
集	104019	ji2	to gather/to collect/collected works
百	103938	bai3	hundred
需	103832	xu1	to require/to need/to want/necessity/need
价	103634	jia4/jie	price/value/valence (on an atom), great/good/middleman/servant
花	103367	hua1	flower/blossom/to spend (money, time)/fancy pattern
党	103165	dang3	party, party/association/club/society
华	103158	hua2/hua4	(abbreviation for) China/(surname) Hua/magnificent/splendid/flowery, (surname)/name of a mountain
城	102833	cheng2	city walls/city/town
石	102149	dan4/shi2	10 pecks, rock/stone
级	102018	ji2	level/grade/rank/step
整	100910	zheng3	exactly/in good order/whole/complete/entire/in order/orderly
府	100771	fu3	prefecture/mansion
离	100744	li2	to leave/to depart/to go away/from
况	100680	kuang4	moreover/situation
亚	100251	ya4	Asia/Asian/second/next to/inferior
请	100226	qing3	to ask/to invite/please (do sth)/to treat (to a meal, etc)/to request
技	99790	ji4	skill
际	99412	ji4	border/edge/boundary/between/among/interval/while
约	99148	yao1/yue1	weigh, appointment/agreement/to arrange/to restrict/approximately
示	98963	shi4	to show/reveal
复	98822	fu4	again/recover/reply to a letter/to repeat/to duplicate, repeat, double, overlap
病	98692	bing4	ailment/sickness/illness/disease/fall ill/sick/defect
息	98447	xi1	news/interest/breath/rest
究	98377	jiu1	after all/to investigate/to study carefully
线	98261	xian4	thread/string/wire/line
似	98057	si4	to seem/to appear/similar/like/to resemble
官	97897	guan1	official/government
火	97760	huo3	fire
断	97235	duan4	absolutely/decidedly (in negative constructions)/break/to judge
精	97135	jing1	energy/perfect/excellent/refined/very/proficient
满	96954	man3	Manchurian/to fill/to fulfill/filled/packed
支	96814	zhi1	(a measure word)/to support/to sustain/to erect/to raise/branch/division/to draw money
视	96326	shi4	to look at/to regard/to inspect
消	96263	xiao1	consume/news/subside/to disappear/to vanish
越	95657	yue4	to exceed/to climb over/to surpass/the more ... the more
器	95444	qi4	device/tool/utensil
容	95407	rong2	to hold/to contain/to allow/appearance/look/countenance
照	95020	zhao4	according to/in accordance with/to shine/to illuminate/to reflect/photograph
须	94903	xu1	beard/necessary/must, beard/mustache
九	94580	jiu3	nine/9
增	93869	zeng1	to increase/to expand/to add
研	93761	yan2	grind fine/study/research
写	93710	xie3	to write
称	93638	chen4/cheng1/cheng4	balanced/to fit/well-off/suitable, to call/to praise/to weigh/to estimate/to consider/to call/to address/to name/to say/commend, steelyard
企	93453	qi3	plan a project/stand on tiptoe
八	92700	ba1	eight/8
功	92052	gong1	merit/achievement/result/service/accomplishment
吗	91639	ma3/ma	morphine, (question tag)
包	91240	bao1	to cover/to wrap/to hold/to include/to take charge of/package/wrapper/container/bag/to hold or embrace/bundle/packet/to contract (to or for)
片	90559	pian1/pian4	disc/sheet, a slice/piece/flake/thin/slice
史	90469	shi3	history
委	90263	wei1/wei3	crooked, give up/indeed/to commission
乎	90127	hu1	(interrog. part.)
查	90039	cha2/zha1	to research/to check/to investigate/to examine/to refer to/to search, (surname)
