hanzi	freq	pinyin	eng
轻	89852	qing1	light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/soft
易	89730	yi4	(surname)/change/easy/simple
早	89623	zao3	early/morning
曾	89328	ceng2/zeng1	(refers to something that happened previously)/already/at some time in the past/before/once, (surname)/great-grand (father)
除	89272	chu2	remove/do away with/wipe out/divide/except
农	88412	nong2	agriculture
找	88247	zhao3	to try to find/to look for/to call on (sb)/to find/to seek/to return/to look for
装	88143	zhuang1	adornment/adorn/costume/dress/clothing
广	87900	guang3	wide/numerous/to spread
显	87825	xian3	prominent/conspicuous
吧	87536	ba1/ba	(onomat.)/dumb, (modal particle indicating polite suggestion)/...right?/...OK?
阿	87159	a1/a4/a/e1	an initial particle/prefix to names of people, (phonetic character), (final part.)/(interj.), flatter
李	86593	li3	(a surname)/plum
标	86324	biao1	the topmost branches of a tree/surface/sign/to mark/(outward) sign/indication/prize/award/bid
谈	86089	tan2	to speak/to talk/to converse/to chat/to discuss/(surname)
吃	85976	chi1/ji2	eat/eradicate/destroy/receive, eat, stammer
图	85957	tu2	diagram/to plan/picture/drawing/chart
念	85953	nian4	read aloud, to read aloud
六	85830	liu4	six/6
引	85740	yin3	to lead/to divert (water)/to guide
历	85487	li4	calendar, to experience/to undergo/to pass through/all/each/every/calendar
首	85036	shou3	head/chief/first (occasion)/first (thing)/measure word for poems
医	84620	yi1	medical/medicine/doctor/to cure/to treat
局	84587	ju2	narrow, (a measure word used for games) set or round office/situation/office
突	84474	tu1	to dash/to move forward quickly
专	84361	zhuan1	for a particular person, occasion, purpose/focused on one thing/special/expert/particular (to sth)/concentrated/specialized, concentrated/specialized
费	84359	fei4	to cost/to spend/fee/wasteful/expenses/(surname)
号	84335	hao2/hao4	roar/cry, day of a month/(suffix used after) name of a ship/(ordinal) number
尽	84270	jin3/jin4	to the utmost, to use up/to exhaust/to end/to finish/to the utmost/exhausted/finished/to the limit (of sth)
另	83702	ling4	other/another/separate/separately
周	83366	zhou1	(surname)/complete/encircle/circuit/lap/week/cycle/all/every/attentive/thoughtful, bestow alms, cycle/week
较	82870	jiao4	clear/distinct/compare/comparatively
注	82869	zhu4	to inject/to pour into/to concentrate/to pay attention/to note/to comment on/to record/to register/to annotate, annotate
语	82805	yu3/yu4	dialect/language/speech, tell to
仅	82729	jin3	barely/only/merely
考	82688	kao3	to check/to verify/to test/to examine
落	82641	la4/luo4	leave behind, alight/to fall/to drop (behind)
青	82619	qing1	green (blue, black)
随	82599	sui2	to follow/to comply with/to allow/(surname)
选	82498	xuan3	to choose/to pick/to select/to elect
列	82418	lie4	to arrange/to line up/row/file/series
武	81863	wu3	martial/military
红	81852	hong2	bonus/popular/red/revolutionary
响	81702	xiang3	to make a sound/to sound/to ring/(a measure word for sound)/loud
虽	81097	sui1	although/even though
推	80933	tui1	push/refuse (responsibility)/shove
势	80705	shi4	conditions/influence/tendency
参	80663	can1/shen1	take part in/participate/join/attend/to join/unequal/varied/irregular/to counsel/uneven/not uniform, ginseng
希	80460	xi1	rare/infrequent
古	80454	gu3	ancient/old
众	80390	zhong4	multitude
构	80364	gou4	Broussonetia papyrifera/to construct/to form/to make up/to compose
房	80320	fang2	house
半	80183	ban4	half/semi-/incomplete/(after a number) and a half/half
节	80074	jie2/jie1	festival/section/segment/point/part/to economize/to save/temperate
土	79809	tu3	earth/dust
投	79708	tou2	to throw/to send
某	79482	mou3	(used before measure word and noun) some/(a) certain/so and so
案	79395	an4	(legal) case/incident/record/file/table
黑	78896	hei1	black/dark
维	78877	wei2	to preserve/to maintain/to hold together/dimension
革	78685	ge2	leather/remove
划	78648	hua2/hua4	to row, to delimit/to transfer/to assign/to differentiate/to mark off/to draw (a line)/to delete/stroke of a Chinese character
敌	78620	di2	enemy/match
致	78238	zhi4	fine and close, to send/to devote/to deliver/to cause/to convey
陈	77914	chen2	arrange/exhibit/narrate/tell/old/stale/a surname/to state/to display/to explain/(surname)
律	77818	lu:4/lv4	law
足	77385	zu2	foot/to be sufficient
态	77219	tai4	attitude
护	76993	hu4	protect
七	76766	qi1	seven/7
兴	76760	xing1/xing4	flourish/it is the fashion to/to become popular, interest
派	76750	pai4	clique/school/group/faction/to dispatch
孩	76620	hai2	child
验	76542	yan4	to examine/to test/to check
责	76377	ze2	duty/responsibility/to reproach/to blame
营	76372	ying2	army/to deal in/to trade/to operate/to run/camp/nourishment/to manage
星	76320	xing1	star/satellite/small amount
够	76181	gou4	to reach/to be enough
章	76098	zhang1	(surname)/chapter/seal/section
音	76043	yin1	sound/noise/news
跟	75958	gen1	to follow/to go with/heel/with/and
志	75904	zhi4	the will, sign/mark/to record/write a footnote
底	75728	de/di3	(possessive part.)/(subor. part.), background/bottom/base
站	75402	zhan4	station/to stand/to halt/to stop
严	75278	yan2	(air or water) tight/stern/serious/strict/severe
巴	74917	ba1	(suff. for certain nouns)/to hope/to wish/Palestinian, Palestine (abbrev.)/Pakistan (abbrev.)/Pascal (unit of pressure)
例	74579	li4	example/precedent/rule/case/instance
防	74459	fang2	to protect/to defend/to guard (against)
族	74174	zu2	race/nationality/ethnicity/clan
供	74168	gong1/gong4	offer (information etc.)/supply, offer/sacrificial offering/trial statement/confession
效	74009	xiao4	imitate, effect/efficacy/imitate
续	73927	xu4	continue/replenish
施	73861	shi1	(surname)/distribute (alms)/to do/to execute/to carry out
留	73287	liu2	leave (message)/to retain/to stay/to remain/to keep/to preserve
讲	73220	jiang3	to talk/speech/to speak/to tell/to explain
型	73216	xing2	model
料	72778	liao4	material/stuff/grain/feed/to expect/to anticipate/to guess
终	72533	zhong1	end/finish
答	72421	da1/da2	to answer/agree, reply/answer/return/respond/echo
紧	72300	jin3	tight/nervous/strict
黄	72199	huang2	(surname)/sulfur/yellow
绝	72074	jue2	cut short/extinct/to disappear/to vanish/absolutely/by no means
奇	71919	ji1/qi2	odd (Num), strange/odd/weird/wonderful
察	71894	cha2	examine/inquire/observe/inspect/look into/to examine
母	71462	mu3	female/mother
京	71245	jing1	capital/Beijing (abbrev.)
段	71172	duan4	(surname)/paragraph/section/segment
依	70632	yi1	according to/depend on/near to
批	70580	pi1	to ascertain/(measure word for batches, lots)/to act on/to criticize/to pass on
群	70459	qun2	crowd/flock/group
项	70453	xiang4	(surname)/back of neck/item/thing
故	70067	gu4	happening/instance/reason/cause/deceased/old
按	69984	an4	to press (with the hand)/to push/to control/to restrain/to check/pressing down (brush movement in painting)/according to/in the light of
河	69687	he2	river
米	69668	mi3	(measure word) meter/rice
围	69641	wei2	to circle/to surround
江	69602	jiang1	river
织	69482	zhi1	weave
害	69462	hai4	to do harm to/to cause trouble to/harm/evil/calamity
斗	69456	dou3/dou4	Chinese peck, to fight/to battle/to struggle/to incite, fight/incite
双	69440	shuang1	two/double/pair/both
境	69360	jing4	border/place/condition/boundary/circumstances/territory
客	69108	ke4	customer/visitor/guest
纪	69045	ji4	discipline/age/era/period/order/record
采	68946	cai3/cai4	to pick/to pluck/to collect/to select/to choose/to gather, affairs/gather, allotment to a feudal noble
举	68924	ju3	to lift/to hold up/to cite/to enumerate/to act/to raise/to choose/to elect
杀	68776	sha1	to kill/to murder/to slaughter
攻	68747	gong1	to attack/to accuse/to study
父	68576	fu4	father
苏	68487	su1	loquacious/nag, revive, (plant)/place name/revive
密	68475	mi4	secret/confidential/close/thick/dense
低	68424	di1	to lower (one's head)/to let droop/to hang down/low/to incline/beneath/low
朝	68380	chao2/zhao1	to face/towards/facing/direct/a dynasty/the imperial court/(abbr.) Korea, esp. N. Korea, morning
友	68196	you3	friend
诉	68147	su4	complain/sue/tell
止	68082	zhi3	to stop/toe
细	67915	xi4	fine/minutely/thin/slender
愿	67915	yuan4	sincere/willing, hope/wish/desire/ready/willing
千	67843	qian1	thousand, a swing
值	67732	zhi2	value/(to be) worth/to happen
仍	67490	reng2	still/yet/to remain
男	67405	nan2	male
钱	67304	qian2	(surname)/coin/money
破	67268	po4	to break/to split/broken/damaged/worn out
网	67118	wang3	net/network, a net
热	67051	re4	heat/to heat up/fervent/hot (of weather)/warm up
助	66867	zhu4	to help/to assist
倒	66634	dao3/dao4	to fall/to collapse/to topple/to change/to fail/bankrupt, upset/turn over/to tip/to pour/to go home/to the contrary/inverted
育	66551	yu4	nourish/to rear
属	66374	shu3/zhu3	belong to/category/be subordinate to/genus (taxonomy)/be born in the year of (one of the 12 animals)/family members/dependants, join together/fix one's attention on/concentrate on
坐	66293	zuo4	to sit/to take a seat/to take (a bus, airplane etc.)
帝	66035	di4	emperor
限	66018	xian4	limit/bound
船	65883	chuan2	a boat/vessel/ship
脸	65727	lian3	face
职	65272	zhi2	office/duty
速	65094	su4	fast/rapid/quick
刻	65015	ke4	quarter (hour)/(a measure word)/to carve/to engrave/to cut/oppressive
乐	64965	le4/yue4	(surname)/happy/laugh/cheerful, (surname)/music
否	64772	fou3/pi3	to negate/to deny/not, clogged/evil
刚	64622	gang1	hard/firm/strong/just/barely/exactly
威	64559	wei1	power/might/prestige
毛	64522	mao2	hair/pore/fur
状	64495	zhuang4	accusation/suit/state/condition/strong/great
率	64453	lu:4/shuai4/lv4	rate/frequency, to lead/command
甚	64438	shen4	very/extremely/more (than)
独	64201	du2	alone/independent/single/sole/only
球	63913	qiu2	ball/sphere
般	63739	ban1	sort/kind/class/way/manner
普	63570	pu3	general/popular/everywhere/universal
怕	63520	pa4	to be afraid/to fear
弹	63417	dan4/tan2	crossball/bullet/shot/shell/ball, impeach/to pluck a string/to play (a stringed musical instrument with fingers)
校	63200	jiao4/xiao4	proofread/to check/to compare, school
苦	63194	ku3	bitter/intensely/miserable/painful
创	63156	chuang1/chuang4	a wound/cut/injury/trauma, begin/initiate/inaugurate/start/create
假	62691	jia3/jia4	fake/false/artificial/to borrow/if/suppose, vacation
久	62588	jiu3	(long) time/(long) duration of time
错	62401	cuo4	mistake/error/blunder/fault/cross/uneven/wrong
承	62285	cheng2	to bear/to carry/to hold/to continue/to undertake/to take charge/owing to/due to/to receive
印	62179	yin4	stamp/seal/mark/print/India (abbrev.)
晚	62142	wan3	evening/night/late
兰	61951	lan2	orchid
试	61912	shi4	to test/to try/experiment/examination/test
股	61861	gu3	share/portion/section/part/thigh/(a measure word, e.g. use with electric current)/whiff
拿	61798	na2	to hold/to seize/to catch/to apprehend/to take
脑	61647	nao3	brain
预	61534	yu4	to advance/in advance/beforehand/to prepare
谁	61528	shei2/shui2	who, who
益	60896	yi4	benefit/increase
阳	60867	yang2	positive (electric.)/sun
若	60736	ruo4	to seem/like/as/if
哪	60708	na3/na/nei3	how/which, (final part. preceded by N), which (followed by M or Num)
微	60484	wei1	micro/tiny/miniature
尼	60474	ni2	Buddhist nun/(often used in phonetic spellings)
继	60428	ji4	to continue/to follow after/then/afterwards/to go on with/to succeed/to inherit
送	60182	song4	to deliver/to carry/to give (as a present)/to present (with)/to see off/to send
急	60141	ji2	hurried/worried
血	59944	xie3/xue4	blood, blood
惊	59724	jing1	to start/to be frightened/to be scared/alarm
伤	59632	shang1	injure/injury/wound
素	59100	su4	plain/element
药	59090	yao4	medicine/drug/cure
适	58927	shi4	to fit/to suit
波	58859	bo1	wave/ripple/storm/surge
夜	58839	ye4	night
省	58642	sheng3/xing3	frugal/save/to omit/to leave out/to save (money)/province, comprehend/introspect/visit
初	58587	chu1	at first/(at the) beginning/first/junior/basic
喜	58449	xi3	to be fond of/to like/to enjoy/to be happy/to feel pleased/happiness/delight/glad
卫	58408	wei4	to guard/to protect/to defend/(surname)
源	58145	yuan2	root/source/origin
食	58110	shi2/si4	animal feed/eat/food, to feed
险	58047	xian3	danger (ous)/rugged
待	57757	dai1/dai4	stay/delay, wait/treat/deal with/need/about/intending to do something
述	57744	shu4	to state/to tell/to narrate/to relate
陆	57430	liu4/lu4	six (fraud-proof), (surname)/shore/land/continent
习	57329	xi2	to practice/to study/habit
置	57255	zhi4	to install/to place/to put
居	56307	ju1	reside
劳	56119	lao2	toil
财	56037	cai2	money/wealth/riches/property/valuables
环	55971	huan2	bracelet/ring (not for finger)/to surround/to loop/loop
排	55938	pai2/pai3	a platoon/line up, row of logs or boards
福	55871	fu2	good fortune
纳	55597	na4	to accept/to pay (tax etc.)
欢	55294	huan1	joyous/happy/pleased
雷	55226	lei2	(surname)/thunder
警	55189	jing3	to alert/to warn
获	55064	huo4	to catch/to obtain/to capture, reap/harvest
模	54891	mo2	imitate/model/norm/pattern
充	54812	chong1	fill/satisfy/fulfill/to act in place of/substitute/sufficient/full
负	54616	fu4	lose/negative (math. etc.)/to bear/to carry (on one's back)
云	54510	yun2	(classical) to say, cloud/(abbr.) for Yunnan/surname
停	54453	ting2	to stop/to halt
木	54433	mu4	tree/wood
游	54262	you2	to walk/to tour/to roam/to swim/to travel, to roam/travel
龙	54169	long2	dragon/imperial/Long (a surname)
树	54037	shu4	tree
疑	53982	yi2	to doubt/to misbelieve/to suspect
层	53705	ceng2	a measure word for layers/laminated/repeated/floor/story (of a building)/layer/(math.) sheaf
冷	53460	leng3	cold
洲	53429	zhou1	continent/island
冲	53378	chong1/chong4	to rinse/to collide/to water/to rush/to dash (against)/to wash out/to charge/highway/public road, dash against, strong/powerful/forceful/dynamic/to punch, of great force/towards
射	53184	she4	radio- (chem.)/shoot
略	53068	lue4	plan/strategy/outline/summary/slightly/rather/to rob/to plunder/to summarize
范	53033	fan4	pattern/model/example/(surname)
竟	53033	jing4	unexpectedly/actually/to go so far as to/indeed
句	52891	ju4	(a measure word, for sentences or lines of verse)/sentence
室	52846	shi4	room
异	52735	yi4	(interj.)/raise/to stop, different/unusual/strange
